,gPlusPlaceId,gPlusUserId,rating
0,100022007736304191686,100087143022600684733,5
1,100022007736304191686,100133395747831313138,4
2,100022007736304191686,100209199760685929571,2
3,100022007736304191686,100435058171642289087,4
4,100022007736304191686,100521433568980018502,5
5,100022007736304191686,100987512139444164895,5
6,100022007736304191686,101327507280596762714,5
7,100022007736304191686,101354508418547086986,5
8,100022007736304191686,101556443658651088707,3
9,100022007736304191686,101595855368596119299,4
10,100022007736304191686,101640250324000637622,5
11,100022007736304191686,101800031327142279475,5
12,100022007736304191686,101986970881161931701,4
13,100022007736304191686,102106270943914983819,5
14,100022007736304191686,102262473706616682909,5
15,100022007736304191686,102379763320384953457,5
16,100022007736304191686,102400531173132463914,5
17,100022007736304191686,102432220668978666057,3
18,100022007736304191686,102654485300722762821,5
19,100022007736304191686,102833529555345733488,4
20,100022007736304191686,103069599680847989815,5
21,100022007736304191686,103212306326520430670,4
22,100022007736304191686,103215399658377415654,4
23,100022007736304191686,103655571092519650131,4
24,100022007736304191686,103829599381573718759,5
25,100022007736304191686,104176166591044253264,5
26,100022007736304191686,104198715954083662964,5
27,100022007736304191686,104308990766760907259,4
28,100022007736304191686,104379273104873415526,5
29,100022007736304191686,104795635855018803856,5
30,100022007736304191686,105070047192652889022,5
31,100022007736304191686,105774035979476704665,4
32,100022007736304191686,105832097942405833590,5
33,100022007736304191686,106158173761172612594,5
34,100022007736304191686,106209942209878093209,5
35,100022007736304191686,106483212938050791921,5
36,100022007736304191686,106704273576852832891,5
37,100022007736304191686,107036828170252877799,5
38,100022007736304191686,108006997225476601818,5
39,100022007736304191686,108031369229216076170,5
40,100022007736304191686,108621405639039659043,5
41,100022007736304191686,108733694476589321156,5
42,100022007736304191686,108972502574796919925,5
43,100022007736304191686,109000562187304003481,5
44,100022007736304191686,109131404861353819714,4
45,100022007736304191686,109443398857527944588,5
46,100022007736304191686,109528347680599463959,5
47,100022007736304191686,109653642204478036669,4
48,100022007736304191686,109825953252786525573,4
49,100022007736304191686,109919476603671596327,5
50,100022007736304191686,109934042942342411714,4
51,100022007736304191686,110103641077948436261,5
52,100022007736304191686,110298341358962263037,5
53,100022007736304191686,110375978874475265196,3
54,100022007736304191686,110553637244873297610,5
55,100022007736304191686,110804953626559077511,5
56,100022007736304191686,110985556886497549868,3
57,100022007736304191686,111084746546025326808,5
58,100022007736304191686,111110033037481101263,5
59,100022007736304191686,111499584265963540504,5
60,100022007736304191686,111513687341795869757,4
61,100022007736304191686,111537180213349974947,4
62,100022007736304191686,111585420461950110208,5
63,100022007736304191686,111749755381760818873,5
64,100022007736304191686,111778205579529574290,4
65,100022007736304191686,111795214823040672695,3
66,100022007736304191686,111900042583397902762,5
67,100022007736304191686,112222398235063547068,4
68,100022007736304191686,112748068345618849681,5
69,100022007736304191686,112851663124600132167,5
70,100022007736304191686,112915113768363448424,4
71,100022007736304191686,113253468208634513019,4
72,100022007736304191686,113278002898967579054,5
73,100022007736304191686,113483602847882541017,5
74,100022007736304191686,114033125239174324440,3
75,100022007736304191686,114212412937976621059,5
76,100022007736304191686,114365038452458083695,5
77,100022007736304191686,114454868612317783224,4
78,100025127231597148218,100237960333807924260,5
79,100025127231597148218,100617635638789112752,3
80,100025127231597148218,100620574016801165393,5
81,100025127231597148218,100650773231286060294,1
82,100025127231597148218,100688621748157175276,5
83,100025127231597148218,101348887352440380866,4
84,100025127231597148218,101488660441292278161,5
85,100025127231597148218,101543515251447103660,4
86,100025127231597148218,101992919091138654673,5
87,100025127231597148218,102075250567719712616,4
88,100025127231597148218,102126042240566466117,5
89,100025127231597148218,102217822112863177285,4
90,100025127231597148218,102392253129280677130,1
91,100025127231597148218,102526554067495925938,1
92,100025127231597148218,102727297162471981512,4
93,100025127231597148218,102843684223721179334,5
94,100025127231597148218,103071374229805247816,5
95,100025127231597148218,103296152429083737194,5
96,100025127231597148218,103485627635972293253,3
97,100025127231597148218,104578101934217859138,4
98,100025127231597148218,105095083538991543994,4
99,100025127231597148218,105103961334225348533,5
100,100025127231597148218,105104286449687486919,4
101,100025127231597148218,105228142323669921855,5
102,100025127231597148218,105464896234760676919,4
103,100025127231597148218,105763131538845053701,4
104,100025127231597148218,105972994432845772754,3
105,100025127231597148218,106130887554843639751,4
106,100025127231597148218,106595366643432910765,4
107,100025127231597148218,106654503918907830147,5
108,100025127231597148218,106699549685265937450,5
109,100025127231597148218,106776887112457822819,3
110,100025127231597148218,106790895485298765548,4
111,100025127231597148218,106834438677186065147,4
112,100025127231597148218,107141892851207429071,4
113,100025127231597148218,107222515926317111386,5
114,100025127231597148218,107252704382507953685,5
115,100025127231597148218,107329524188272203208,5
116,100025127231597148218,107512146002905951720,4
117,100025127231597148218,107543947217833080251,4
118,100025127231597148218,107739933782344709804,5
119,100025127231597148218,108105242720655401367,4
120,100025127231597148218,108153351022650723174,4
121,100025127231597148218,108796874416324552921,4
122,100025127231597148218,108806842541495396929,4
123,100025127231597148218,109439216671623730643,4
124,100025127231597148218,109736776694323445269,3
125,100025127231597148218,110343297446029276165,5
126,100025127231597148218,110346270544495032648,3
127,100025127231597148218,110594123227925784497,5
128,100025127231597148218,110883437659982836623,5
129,100025127231597148218,110958357569852716058,5
130,100025127231597148218,111172142082109956691,5
131,100025127231597148218,111518852781997806445,5
132,100025127231597148218,111803014233144712154,4
